5	4	120	5	120	0
5	4	120	5	120	0
5	4	120	5	120	0
5	2	20	10	120	0
7	2	42	21	5040	0
4	2	12	6	24	0
4	2	12	6	24	0
4	2	12	6	24	0
5	2	20	10	120	0
6	2	30	15	720	0
7	5	2520	21	5040	0
3	2	6	3	6	0
7	2	42	21	5040	0
6	3	120	20	720	0
3	1	3	3	6	0
4	2	12	6	24	0
9	2	72	36	362880	0
4	2	12	6	24	0
4	2	12	6	24	0
4	2	12	6	24	0
5	2	20	10	120	0
6	2	30	15	720	0
7	5	2520	21	5040	0
3	2	6	3	6	0
7	2	42	21	5040	0
6	3	120	20	720	0
3	1	3	3	6	0
4	2	12	6	24	0
9	2	72	36	362880	0
10	5	30240	252	3628800	0
12	3	1320	220	479001600	0
12	3	1320	220	479001600	0
12	3	1320	220	479001600	0
12	4	11880	495	479001600	0
7	4	840	35	5040	0
7	4	840	35	5040	0
8	4	1680	70	40320	0
4	2	12	6	24	0
4	1	4	4	24	0
20	5	1860480	15504	2432902008176640000	-1
7	2	42	21	5040	0
7	4	840	35	5040	0
12	4	11880	495	479001600	0
12	3	1320	220	479001600	0
15	4	32760	1365	1307674368000	-1
15	4	32760	1365	1307674368000	-1
15	4	32760	1365	1307674368000	-1
15	4	32760	1365	1307674368000	-1
15	4	32760	1365	1307674368000	-1
16	5	524160	4368	20922789888000	-1
16	5	524160	4368	20922789888000	-1
21	2	420	210	51090942171709440000	-1
12	3	1320	220	479001600	0
4	3	24	4	24	0
12	2	132	66	479001600	0
23	4	212520	8855	25852016738884976640000	-1
